"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-12 09:00:00,-4.01 Wh,-4.75 Wh,,-4.51 Wh,0 Wh
2026-02-12 10:00:00,-3.89 Wh,-4.16 Wh,-29.5 Wh,-4.46 Wh,0 Wh
2026-02-12 11:00:00,-3.95 Wh,-4.79 Wh,-32.8 Wh,-4.31 Wh,0 Wh
2026-02-12 12:00:00,-4.17 Wh,-4.50 Wh,-31.6 Wh,-4.49 Wh,0 Wh
2026-02-12 13:00:00,-4.00 Wh,-4.42 Wh,-29.6 Wh,-4.45 Wh,0 Wh
2026-02-12 14:00:00,-4.02 Wh,-4.26 Wh,-30.2 Wh,-4.46 Wh,0 Wh
2026-02-12 15:00:00,-3.96 Wh,-4.33 Wh,-33.1 Wh,-4.52 Wh,0 Wh
2026-02-12 16:00:00,-4.03 Wh,-4.78 Wh,-30.6 Wh,-4.30 Wh,0 Wh
2026-02-12 17:00:00,-3.98 Wh,-4.89 Wh,-27.1 Wh,-4.26 Wh,0 Wh
2026-02-12 18:00:00,-4.04 Wh,-4.87 Wh,,-4.21 Wh,0 Wh
2026-02-12 19:00:00,-3.93 Wh,-4.24 Wh,-28.8 Wh,-4.26 Wh,0 Wh
2026-02-12 20:00:00,-4.06 Wh,-4.64 Wh,-28.8 Wh,-4.46 Wh,0 Wh
2026-02-12 21:00:00,-4.02 Wh,-4.12 Wh,-31.1 Wh,-4.42 Wh,0 Wh
2026-02-12 22:00:00,-4.01 Wh,-4.37 Wh,-30.1 Wh,-4.30 Wh,0 Wh
2026-02-12 23:00:00,-4.23 Wh,-3.71 Wh,,-4.33 Wh,0 Wh
2026-02-13 00:00:00,-6.53 Wh,-4.40 Wh,-28.5 Wh,-4.35 Wh,-165 Wh
2026-02-13 01:00:00,-5.96 Wh,-4.44 Wh,-28.5 Wh,-4.37 Wh,-107 Wh
2026-02-13 02:00:00,-5.18 Wh,-4.40 Wh,-28.4 Wh,-4.37 Wh,-46.2 Wh
2026-02-13 03:00:00,-6.42 Wh,-4.36 Wh,-29.0 Wh,-4.34 Wh,-89.6 Wh
2026-02-13 04:00:00,-5.37 Wh,-4.36 Wh,-29.1 Wh,-4.39 Wh,-52.9 Wh
2026-02-13 05:00:00,-3.97 Wh,-4.33 Wh,-28.9 Wh,-4.35 Wh,0 Wh
2026-02-13 06:00:00,-6.16 Wh,-4.30 Wh,-28.9 Wh,-4.36 Wh,-80.3 Wh
2026-02-13 07:00:00,-4.69 Wh,-4.36 Wh,-29.4 Wh,-4.34 Wh,-23.6 Wh
2026-02-13 08:00:00,-4.21 Wh,-4.31 Wh,-28.6 Wh,-4.37 Wh,-5.36 Wh
2026-02-13 09:00:00,-5.57 Wh,-4.38 Wh,-28.3 Wh,-4.36 Wh,-23.3 Wh
