"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-11 17:50:00,-774 Wh,0 Wh,-3.38 kWh,-565 Wh,-5.28 kWh,7.99 kWh
2026-03-11 18:00:00,-775 Wh,0 Wh,-3.38 kWh,-566 Wh,-5.29 kWh,8.00 kWh
2026-03-11 18:10:00,-776 Wh,0 Wh,-3.39 kWh,-567 Wh,-5.29 kWh,8.01 kWh
2026-03-11 18:20:00,-777 Wh,0 Wh,-3.39 kWh,-568 Wh,-5.30 kWh,8.01 kWh
2026-03-11 18:30:00,-778 Wh,0 Wh,-3.39 kWh,-568 Wh,-5.31 kWh,8.02 kWh
2026-03-11 18:40:00,-779 Wh,0 Wh,-3.40 kWh,-569 Wh,-5.32 kWh,8.02 kWh
2026-03-11 18:50:00,-780 Wh,0 Wh,-3.40 kWh,-570 Wh,-5.33 kWh,8.02 kWh
2026-03-11 19:00:00,-781 Wh,0 Wh,-3.41 kWh,-570 Wh,-5.34 kWh,8.03 kWh
2026-03-11 19:10:00,-782 Wh,0 Wh,-3.41 kWh,-571 Wh,-5.35 kWh,8.03 kWh
2026-03-11 19:20:00,-784 Wh,0 Wh,-3.42 kWh,-572 Wh,-5.36 kWh,8.03 kWh
2026-03-11 19:30:00,-785 Wh,0 Wh,-3.42 kWh,-573 Wh,-5.37 kWh,8.03 kWh
2026-03-11 19:40:00,-786 Wh,0 Wh,-3.42 kWh,-573 Wh,-5.38 kWh,8.03 kWh
2026-03-11 19:50:00,-787 Wh,0 Wh,-3.43 kWh,-574 Wh,-5.39 kWh,8.04 kWh
2026-03-11 20:00:00,-788 Wh,0 Wh,-3.43 kWh,-575 Wh,-5.40 kWh,8.04 kWh
2026-03-11 20:10:00,-789 Wh,0 Wh,-3.44 kWh,-575 Wh,-5.41 kWh,8.04 kWh
2026-03-11 20:20:00,-790 Wh,0 Wh,-3.44 kWh,-576 Wh,-5.42 kWh,8.04 kWh
2026-03-11 20:30:00,-791 Wh,0 Wh,-3.45 kWh,-577 Wh,-5.42 kWh,8.04 kWh
2026-03-11 20:40:00,-792 Wh,0 Wh,-3.45 kWh,-578 Wh,-5.43 kWh,8.05 kWh
2026-03-11 20:50:00,-793 Wh,0 Wh,-3.46 kWh,-578 Wh,-5.44 kWh,8.05 kWh
